 ra_target, dec_target, ha_current, ra_current, dec_current, lst_current, epoch_current, utc_current, year_currently,Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),Unnamed: 32
12.32,12.58,-1.646291,12.32011,12.580202,10.673818,2000.0,20.012579,2025.561259,,,0.00011973159728948882,-39.217923203125,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.32523653465478,55.892728425391944,-24.41944720752613,-20.286035800055426,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.58,-1.645965,12.320131,12.580551,10.674167,2000.0,20.012927,2025.561259,,,0.00011989225555002588,-39.21209418789043,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.33350711945471,55.89705563393652,-24.41947980978229,-20.286067668760708,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.58,-1.6458,12.320141,12.580677,10.674341,2000.0,20.0131,2025.561259,,,0.00011947038929421036,-39.22740705661791,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.33867899516827,55.89976018712811,-24.419500876359805,-20.28608756154047,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.58,-1.645472,12.320161,12.58093,10.674689,2000.0,20.013448,2025.561259,,,0.00011912652454423513,-39.23991629112978,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.34383109201677,55.902454447769564,-24.41952242186642,-20.286109726331198,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.58,-1.645144,12.320181,12.581182,10.675037,2000.0,20.013795,2025.561259,,,0.00011930458219214868,-39.23344758029641,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.34897804794112,55.90514590752942,-24.4195426999879,-20.28613073711613,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.49,-1.638794,12.320449,12.494769,10.681655,2000.0,20.020395,2025.561259,,,0.00011987831497024874,-39.21260357037175,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.47391495659154,55.970297918525574,-24.420039917518327,-20.286627142257426,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.49,-1.63845,12.320454,12.496007,10.682004,2000.0,20.020742,2025.561259,,,0.0001199830282134837,-39.208800661754424,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.47914100114602,55.97301654081077,-24.42006044840765,-20.28664846047436,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.49,-1.638318,12.320496,12.49642,10.682178,2000.0,20.020916,2025.561259,,,0.00012030864857766583,-39.19704011048084,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.4843555836529,55.97573068749097,-24.42008221615581,-20.286670808685102,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.49,-1.637985,12.320512,12.497513,10.682526,2000.0,20.021263,2025.561259,,,0.00012042574251301062,-39.192807084129456,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.4895458837284,55.978430894450874,-24.420102003862436,-20.286690596391733,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.49,-1.637841,12.320541,12.497974,10.6827,2000.0,20.021437,2025.561259,,,0.00012031095128660703,-39.196950191613375,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.49474308952789,55.981133347439766,-24.420122899192254,-20.286711491721547,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
