Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),
2025-07-24,15:56:22.953,0.00011895588249899447,-39.24613952636719,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.94981384277344,55.1547737121582,-24.41390037536621,-20.280487060546875,0,10,0,0,2025-07-24T19:56:22.953Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:23.959,0.00011892852489836514,-39.24713897705078,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.9549560546875,55.1576042175293,-24.413921356201172,-20.28050994873047,0,10,0,0,2025-07-24T19:56:23.959Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:25.005,0.0001180749895866029,-39.278419494628906,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.9601058959961,55.16043472290039,-24.413942337036133,-20.280529022216797,0,10,0,0,2025-07-24T19:56:25.005Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:26.092,0.00011881075624842197,-39.251441955566406,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.96524810791016,55.163265228271484,-24.41396141052246,-20.280548095703125,0,10,0,0,2025-07-24T19:56:26.092Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:27.116,0.0001187465459224768,-39.25379180908203,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.97039794921875,55.16609573364258,-24.413984298706055,-20.28057098388672,0,10,0,0,2025-07-24T19:56:27.116Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:28.189,0.00011907253065146506,-39.24188232421875,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.97554779052734,55.16892623901367,-24.414003372192383,-20.280590057373047,0,10,0,0,2025-07-24T19:56:28.189Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:29.201,0.00011981563147855923,-39.214866638183594,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.98069763183594,55.1717529296875,-24.414026260375977,-20.28061294555664,0,10,0,0,2025-07-24T19:56:29.201Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:30.246,0.00011980673298239708,-39.215187072753906,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.98584747314453,55.174583435058594,-24.414045333862305,-20.28063201904297,0,10,0,0,2025-07-24T19:56:30.246Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:31.300,0.00011955149238929152,-39.224449157714844,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.99099731445312,55.17741394042969,-24.4140682220459,-20.280654907226562,0,10,0,0,2025-07-24T19:56:31.300Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:32.342,0.00011846961569972336,-39.26393127441406,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,123.99614715576172,55.18024444580078,-24.414087295532227,-20.28067398071289,0,10,0,0,2025-07-24T19:56:32.342Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:33.374,0.00011982681462541223,-39.21445846557617,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.00129699707031,55.18307113647461,-24.41411018371582,-20.280696868896484,0,10,0,0,2025-07-24T19:56:33.374Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:34.453,0.00011920425458811224,-39.237083435058594,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.00645446777344,55.1859016418457,-24.41413116455078,-20.280719757080078,0,10,0,0,2025-07-24T19:56:34.453Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:35.487,0.00011939950491068885,-39.22997283935547,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.01676177978516,55.191558837890625,-24.414173126220703,-20.28076171875,0,10,0,0,2025-07-24T19:56:35.487Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:36.550,0.00012017182598356158,-39.20197296142578,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.02191162109375,55.19438552856445,-24.414194107055664,-20.280780792236328,0,10,0,0,2025-07-24T19:56:36.550Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:37.589,0.00011968251055805013,-39.21969223022461,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.02706909179688,55.19721603393555,-24.414215087890625,-20.280803680419922,0,10,0,0,2025-07-24T19:56:37.589Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:38.627,0.00011911285400856286,-39.240413665771484,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.0322265625,55.200042724609375,-24.414236068725586,-20.28082275390625,0,10,0,0,2025-07-24T19:56:38.627Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:39.667,0.00011892771726706997,-39.247169494628906,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.03738403320312,55.2028694152832,-24.414257049560547,-20.280845642089844,0,10,0,0,2025-07-24T19:56:39.667Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:40.705,0.00011874368647113442,-39.2538948059082,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.04254150390625,55.2056999206543,-24.414276123046875,-20.280864715576172,0,10,0,0,2025-07-24T19:56:40.705Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:41.757,0.00011962443386437371,-39.2218017578125,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.04769897460938,55.208526611328125,-24.41429901123047,-20.280887603759766,0,10,0,0,2025-07-24T19:56:41.757Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:42.783,0.00011983238073298708,-39.214256286621094,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.0528564453125,55.21135330200195,-24.414318084716797,-20.280906677246094,0,10,0,0,2025-07-24T19:56:42.783Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:43.818,0.00012011460057692602,-39.20404052734375,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.05801391601562,55.21417999267578,-24.41434097290039,-20.280929565429688,0,10,0,0,2025-07-24T19:56:43.818Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:44.848,0.00011881998216267675,-39.25110626220703,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.06317901611328,55.21700668334961,-24.41436004638672,-20.280948638916016,0,10,0,0,2025-07-24T19:56:44.848Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:45.898,0.00011974167136941105,-39.21754837036133,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.0683364868164,55.21983337402344,-24.414382934570312,-20.28097152709961,0,10,0,0,2025-07-24T19:56:45.898Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:46.945,0.0001191368792206049,-39.23953628540039,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.07349395751953,55.222660064697266,-24.414403915405273,-20.280990600585938,0,10,0,0,2025-07-24T19:56:46.945Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:47.981,0.00011961236305069178,-39.22224044799805,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.07865905761719,55.225486755371094,-24.414424896240234,-20.28101348876953,0,10,0,0,2025-07-24T19:56:47.981Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:49.035,0.00011986419121967629,-39.213104248046875,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.08382415771484,55.22831344604492,-24.414445877075195,-20.28103256225586,0,10,0,0,2025-07-24T19:56:49.035Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:50.069,0.0001201293125632219,-39.20351028442383,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.08898162841797,55.23114013671875,-24.414466857910156,-20.281055450439453,0,10,0,0,2025-07-24T19:56:50.069Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:51.121,0.00011983283184235916,-39.21424102783203,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.09414672851562,55.23396682739258,-24.414487838745117,-20.28107452392578,0,10,0,0,2025-07-24T19:56:51.121Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:52.150,0.00011983251170022413,-39.21425247192383,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.09931182861328,55.236793518066406,-24.414508819580078,-20.281097412109375,0,10,0,0,2025-07-24T19:56:52.150Z,325.3699951171875,55.58000183105469,0,0,
