Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),Unnamed: 32,X (Rot),Y (Rot),X (Target),Y (Target),X_offset,Y_offset,HA (target),HA (Rot),Dec (Target),Dec (Rot),HA_offset,DEC_offset,DEC (Rot),HA (Target),DEC (Target)
2025-07-07,19:50:41.885,0.0004645929147955,-33.32927322387695,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.904129028320312,9.07180118560791,16.626129150390625,26.756505966186523,0,10,0,0,2025-07-07T23:50:41.885Z,331.1499938964844,18.200000762939453,0.0,0.0,,-55.73,56.31,61.23,70.88,-116.96,-14.57,,116.0835017422956,,,-98.55,-0.34,59.31241665325554,-145.37091899207425,59.64972108622413
2025-07-07,19:50:42.910,0.0004624020657502,-33.34980392456055,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.906068801879883,9.072773933410645,16.626142501831055,26.756519317626953,0,10,0,0,2025-07-07T23:50:42.910Z,331.1700134277344,18.239999771118164,0.0199999995529651,0.0399999991059303,,-55.65,56.31,61.23,70.88,-116.88,-14.57,,116.04656003674505,,,-98.59,-0.3,59.35249767742741,-145.36666806211758,59.64967876463911
2025-07-07,19:50:43.933,0.0004633135686162,-33.341251373291016,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.908010482788086,9.07374668121338,16.62615394592285,26.75653076171875,0,10,0,0,2025-07-07T23:50:43.933Z,331.1700134277344,18.239999771118164,0.0199999995529651,0.0399999991059303,,-55.65,56.31,61.23,70.87,-116.88,-14.56,,116.04656003674505,,,-98.59,-0.3,59.35249767742741,-145.36241386202104,59.6496354335617
2025-07-07,19:50:44.958,0.0004617261874955,-33.35615539550781,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.909950256347656,9.074719429016112,16.62616539001465,26.756542205810547,0,10,0,0,2025-07-07T23:50:44.958Z,331.260009765625,18.200000762939453,0.1099999994039535,0.0,,-55.64,56.4,61.23,70.87,-116.87,-14.47,,116.21378327796987,,,-98.43,-0.26,59.393115657915146,-145.35816297093706,59.6495928646622
2025-07-07,19:50:45.982,0.0004624081193469,-33.34974670410156,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.91189193725586,9.075692176818848,16.62618064880371,26.75655746459961,0,10,0,0,2025-07-07T23:50:45.982Z,331.260009765625,18.200000762939453,0.1099999994039535,0.0,,-55.64,56.4,61.23,70.87,-116.87,-14.47,,116.21378327796987,,,-98.43,-0.26,59.393115657915146,-145.3539088100066,59.649549286085694
2025-07-07,19:50:47.006,0.0004622166743502,-33.35154342651367,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.91383171081543,9.076665878295898,16.626192092895508,26.756568908691406,0,10,0,0,2025-07-07T23:50:47.006Z,331.2300109863281,18.15999984741211,0.0799999982118606,-0.0399999991059303,,-55.72,56.4,61.23,70.87,-116.95,-14.47,,116.23877030486379,,,-98.41,-0.3,59.3456781256672,-145.34965706990602,59.6495073114063
2025-07-07,19:50:48.030,0.0004652862844523,-33.32279586791992,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.915771484375,9.077638626098633,16.626203536987305,26.756580352783203,0,10,0,0,2025-07-07T23:50:48.030Z,331.2300109863281,18.15999984741211,0.0799999982118606,-0.0399999991059303,,-55.72,56.4,61.23,70.87,-116.95,-14.47,,116.23877030486379,,,-98.42,-0.3,59.3456781256672,-145.345406237206,59.64946437157775
2025-07-07,19:50:49.053,0.0004672154900617,-33.30482864379883,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.91771125793457,9.078612327575684,16.626216888427734,26.756593704223633,0,10,0,0,2025-07-07T23:50:49.053Z,331.20001220703125,18.11000061035156,0.050000000745058,-0.0900000035762786,,-55.83,56.4,61.23,70.86,-117.06,-14.46,,116.27876041393206,,,-98.38,-0.36,59.29186098573115,-145.34115453581697,59.64942214962288
2025-07-07,19:50:50.078,0.0004679138946812,-33.29833984375,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.921592712402344,9.080558776855469,16.626239776611328,26.756616592407227,0,10,0,0,2025-07-07T23:50:50.078Z,331.20001220703125,18.11000061035156,-0.0299999993294477,-0.0399999991059303,,-55.83,56.4,61.23,70.86,-117.06,-14.46,,116.27876041393206,,,-98.39,-0.36,59.29186098573115,-145.33264879083748,59.6493356068109
2025-07-07,19:50:51.101,0.0004674186056945,-33.302940368652344,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.923532485961914,9.08153247833252,16.62625503540039,26.75663185119629,0,10,0,0,2025-07-07T23:50:51.101Z,331.1199951171875,18.15999984741211,-0.0299999993294477,-0.0399999991059303,,-55.82,56.31,61.23,70.86,-117.05,-14.55,,116.10855544970134,,,-98.56,-0.38,59.26499642986691,-145.328397147813,59.649293013855875
2025-07-07,19:50:52.126,0.0004645316221285,-33.3298454284668,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.925472259521484,9.08250617980957,16.626266479492188,26.75664329528809,0,10,0,0,2025-07-07T23:50:52.126Z,331.1199951171875,18.15999984741211,-0.1099999994039535,0.0,,-55.82,56.31,61.23,70.85,-117.05,-14.54,,116.10855544970134,,,-98.57,-0.38,59.26499642986691,-145.32414552423373,59.649250297262796
2025-07-07,19:50:53.150,0.0004681304853875,-33.296329498291016,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.927412033081055,9.083480834960938,16.626277923583984,26.756654739379883,0,10,0,0,2025-07-07T23:50:53.150Z,331.0400085449219,18.200000762939453,-0.1099999994039535,0.0,,-55.82,56.22,61.23,70.85,-117.05,-14.63,,115.95377874100701,,,-98.73,-0.42,59.23165037254799,-145.31989303144198,59.6492082983732
2025-07-07,19:50:54.174,0.0004656266828533,-33.31962203979492,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.929351806640625,9.084454536437988,16.626291275024414,26.756668090820312,0,10,0,0,2025-07-07T23:50:54.174Z,331.0400085449219,18.200000762939453,-0.0799999982118606,0.050000000745058,,-55.82,56.22,61.23,70.85,-117.05,-14.63,,115.95377874100701,,,-98.73,-0.42,59.23165037254799,-145.31564144674806,59.64916533448621
2025-07-07,19:50:55.197,0.0004677253309637,-33.30009078979492,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.931293487548828,9.085429191589355,16.62630271911621,26.75667953491211,0,10,0,0,2025-07-07T23:50:55.197Z,331.07000732421875,18.25,-0.0799999982118606,0.050000000745058,,-55.72,56.22,61.23,70.85,-116.95,-14.63,,115.91341949501818,,,-98.78,-0.36,59.2853739211659,-145.3113857046001,59.64912220123267
2025-07-07,19:50:56.221,0.0004698355623986,-33.280540466308594,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.9332332611084,9.086402893066406,16.626314163208008,26.756690979003903,0,10,0,0,2025-07-07T23:50:56.221Z,331.07000732421875,18.25,-0.0799999982118606,0.050000000745058,,-55.72,56.22,61.23,70.85,-116.95,-14.63,,115.91341949501818,,,-98.78,-0.36,59.2853739211659,-145.30713415903014,59.64907898996805
2025-07-07,19:50:57.245,0.0004680790589191,-33.29680633544922,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.93517303466797,9.087377548217772,16.62632942199707,26.75670623779297,0,10,0,0,2025-07-07T23:50:57.245Z,331.0899963378906,18.290000915527344,-0.0599999986588954,0.0900000035762786,,-55.64,56.22,61.23,70.84,-116.87,-14.62,,115.87629543196782,,,-98.82,-0.32,59.32538950228366,-145.30288174398385,59.649036496312924
2025-07-07,19:50:58.270,0.0004668838519137,-33.30791091918945,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.93711280822754,9.08835220336914,16.626340866088867,26.75671768188477,0,10,0,0,2025-07-07T23:50:58.270Z,331.0899963378906,18.290000915527344,-0.0599999986588954,0.0900000035762786,,-55.64,56.22,61.23,70.84,-116.87,-14.62,,115.87629543196782,,,-98.83,-0.32,59.32538950228366,-145.29862934837305,59.64899387898415
2025-07-07,19:50:59.294,0.0004668912151828,-33.30784225463867,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,16.93905258178711,9.089326858520508,16.626352310180664,26.75672912597656,0,10,0,0,2025-07-07T23:50:59.294Z,331.0899963378906,18.290000915527344,-0.0299999993294477,0.1299999952316284,,-55.64,56.22,61.23,70.84,-116.87,-14.62,,115.87629543196782,,,-98.83,-0.32,59.32538950228366,-145.29437697222824,59.64895113798459
