Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),Unnamed: 32,X (Rot),Y (Rot),X (Target),Y (Target),X_offset,Y_offset,HA (target),HA (Rot),Dec (Target),Dec (Rot),HA_offset,DEC_offset,DEC (Rot),HA (Target),DEC (Target)
2025-07-07,11:43:00.825,0.0004563109832815,-33.40739059448242,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.71795654296875,29.440902709960938,16.302194595336914,26.432571411132812,0,10,0,0,2025-07-07T15:43:00.825Z,323.7200012207031,29.440000534057617,0.0,0.0,,-46.354707943010915,44.59085573560737,-46.35504644945729,44.588874197027614,0.0,0.0,,34.50812066146067,,,0.0,-0.0,-24.54678972535132,34.51000625669495,-24.54781089716919
2025-07-07,11:43:01.849,0.0004538868088275,-33.43052291870117,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.7188720703125,29.43890380859375,16.302194595336914,26.432571411132812,0,10,0,0,2025-07-07T15:43:01.849Z,323.739990234375,29.38999938964844,0.0199999995529651,-0.0489999987185001,,-46.39947281401974,44.63313788794379,-46.35675587666989,44.59064882723259,0.04,0.04,,34.49276205545375,,,0.02,-0.05,-24.495720735462882,34.509281192938786,-24.545762405145915
2025-07-07,11:43:02.873,0.0004536421620287,-33.432865142822266,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.71978759765625,29.43690299987793,16.302196502685547,26.432573318481445,0,10,0,0,2025-07-07T15:43:02.873Z,323.739990234375,29.38999938964844,0.0199999995529651,-0.0489999987185001,,-46.39947281401974,44.63313788794379,-46.35846760206565,44.59242451569332,0.04,0.04,,34.49276205545375,,,0.02,-0.05,-24.495720735462882,34.50855626053266,-24.54371201083354
2025-07-07,11:43:03.897,0.0004541507514659,-33.428001403808594,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.720703125,29.434904098510746,16.30219841003418,26.43257522583008,0,10,0,0,2025-07-07T15:43:03.897Z,323.739990234375,29.3799991607666,0.1280000060796737,-0.0149999996647238,,-46.41115364931361,44.63869816080561,-46.36017717449191,44.59419914008693,0.05,0.04,,34.49350859548279,,,0.01,-0.06,-24.485743610095984,34.50783117431641,-24.54166352010002
2025-07-07,11:43:04.921,0.0004542499955277,-33.42705154418945,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.72161865234375,29.432905197143555,16.30219841003418,26.43257522583008,0,10,0,0,2025-07-07T15:43:04.921Z,323.8500061035156,29.40999984741211,0.1280000060796737,-0.0149999996647238,,-46.30105478325055,44.70160282946414,-46.361886819499205,44.595973761580254,0.06,0.11,,34.38618012845394,,,0.12,-0.03,-24.509171562827138,34.507106076875196,-24.53961503001165
2025-07-07,11:43:05.945,0.0004537235654424,-33.43208694458008,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.7225341796875,29.430904388427734,16.302200317382812,26.43257713317871,0,10,0,0,2025-07-07T15:43:05.945Z,323.8500061035156,29.40999984741211,0.1080000028014183,0.0340000018477439,,-46.30105478325055,44.70160282946414,-46.36359876298823,44.597749441256944,0.06,0.1,,34.38618012845394,,,0.12,-0.03,-24.509171562827138,34.50638111076329,-24.537564637633334
2025-07-07,11:43:06.969,0.0004525008553173,-33.44380569458008,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.72344970703125,29.428905487060547,16.302202224731445,26.432579040527344,0,10,0,0,2025-07-07T15:43:06.969Z,323.8299865722656,29.459999084472656,0.1080000028014183,0.0340000018477439,,-46.25638541004482,44.65923412335113,-46.36530855328124,44.599524056918746,0.11,0.06,,34.401575515945424,,,0.1,0.02,-24.560237827778366,34.505655990867105,-24.535516148835065
2025-07-07,11:43:07.993,0.0004564787668641,-33.405792236328125,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.7243347167969,29.42690658569336,16.302202224731445,26.432579040527344,0,10,0,0,2025-07-07T15:43:07.993Z,323.8299865722656,29.459999084472656,0.1080000028014183,0.0340000018477439,,-46.25638541004482,44.65923412335113,-46.36703918336256,44.60127658181325,0.11,0.06,,34.401575515945424,,,0.1,0.03,-24.560237827778366,34.5049600102937,-24.533469467719737
2025-07-07,11:43:09.017,0.0004538001376204,-33.43135452270508,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.7252502441406,29.424907684326172,16.302204132080078,26.432580947875977,0,10,0,0,2025-07-07T15:43:09.017Z,323.82000732421875,29.5,0.0879999995231628,0.0820000022649765,,-46.216560231800244,44.629693017563525,-46.36874911953824,44.60305119102245,0.15,0.03,,34.40812203786883,,,0.1,0.07,-24.60073597012344,34.50423486805675,-24.531420980178865
2025-07-07,11:43:10.041,0.0004534047620836,-33.43513870239258,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.7261657714844,29.42290687561035,16.302204132080078,26.432580947875977,0,10,0,0,2025-07-07T15:43:10.041Z,323.82000732421875,29.5,0.0879999995231628,0.0820000022649765,,-46.216560231800244,44.629693017563525,-46.370461354593616,44.60482685831769,0.15,0.02,,34.40812203786883,,,0.1,0.07,-24.60073597012344,34.50350985712148,-24.529370590346982
