Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),Unnamed: 32,X (Rot),Y (Rot),X (Target),Y (Target),X_offset,Y_offset,HA (target),HA (Rot),Dec (Target),Dec (Rot),HA_offset,DEC_offset,DEC (Rot),HA (Target),DEC (Target)
2025-07-07,11:38:35.947,0.0004573906189762,-33.39712905883789,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.4796447753906,29.972320556640625,16.301929473876953,26.43230628967285,0,10,0,0,2025-07-07T15:38:35.947Z,323.4800109863281,29.969999313354492,0.0,0.0,,-45.902124368361754,44.12220130536742,-45.89969094183721,44.120640138588016,0.0,0.0,,34.69734049075943,,,0.0,-0.0,-25.089795177799566,34.697513906392274,-25.092132729197427
2025-07-07,11:38:36.971,0.0004573015903588,-33.397972106933594,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.48052978515625,29.97031021118164,16.301929473876953,26.43230628967285,0,10,0,0,2025-07-07T15:38:36.971Z,323.5,29.920000076293945,0.0189999993890523,-0.0489999987185001,,-45.94639776787558,44.1645162837187,-45.90141520385433,44.12240000878625,0.04,0.04,,34.68205403473658,,,0.01,-0.05,-25.038724762476424,34.6968218308248,-25.0900744720651
2025-07-07,11:38:37.995,0.0004594333586283,-33.37777328491211,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.4814147949219,29.968297958374023,16.30193328857422,26.432310104370117,0,10,0,0,2025-07-07T15:38:37.995Z,323.5,29.920000076293945,0.0189999993890523,-0.0489999987185001,,-45.94639776787558,44.1645162837187,-45.903141740329325,44.12416094214277,0.04,0.04,,34.68205403473658,,,0.01,-0.05,-25.038724762476424,34.69612988856314,-25.088014312648763
2025-07-07,11:38:39.019,0.0004560670349746,-33.40971374511719,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.4822998046875,29.96628761291504,16.30193328857422,26.432310104370117,0,10,0,0,2025-07-07T15:38:39.019Z,323.5,29.920000076293945,0.1289999932050705,-0.0160000007599592,,-45.94639776787558,44.1645162837187,-45.90486614589751,44.12592080527029,0.04,0.04,,34.68205403473658,,,0.01,-0.05,-25.038724762476424,34.69543779030274,-25.085956056637155
2025-07-07,11:38:40.043,0.0004557201173156,-33.41301727294922,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.4831848144531,29.964277267456055,16.30193328857422,26.432310104370117,0,10,0,0,2025-07-07T15:38:40.043Z,323.6099853515625,29.940000534057617,0.1299999952316284,-0.0199999995529651,,-45.84885070809353,44.23229955109248,-45.90659062321602,44.127680664867896,0.06,0.1,,34.57557849148543,,,0.12,-0.03,-25.052145156919657,34.694745680701175,-25.08389780118616
2025-07-07,11:38:41.067,0.0004554331535473,-33.41575241088867,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.48406982421875,29.96226692199707,16.30193519592285,26.43231201171875,0,10,0,0,2025-07-07T15:38:41.067Z,323.6099853515625,29.940000534057617,0.1089999973773956,0.0320000015199184,,-45.84885070809353,44.23229955109248,-45.90831517229647,44.129440520932235,0.06,0.1,,34.57557849148543,,,0.12,-0.03,-25.052145156919657,34.69405355975932,-25.081839546295864
2025-07-07,11:38:42.091,0.0004565879062283,-33.404754638671875,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.48583984375,29.95824432373047,16.30193519592285,26.43231201171875,0,10,0,0,2025-07-07T15:38:42.091Z,323.5899963378906,29.989999771118164,0.1099999994039535,0.0299999993294477,,-45.80465038637879,44.18991942245357,-45.91176668894714,44.13296128902455,0.11,0.06,,34.59087243034237,,,0.1,0.03,-25.103212964123493,34.6926694284676,-25.077721135351354
2025-07-07,11:38:43.115,0.0004575509228743,-33.395606994628906,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.4867248535156,29.956233978271484,16.301937103271484,26.432313919067383,0,10,0,0,2025-07-07T15:38:43.115Z,323.6000061035156,29.989999771118164,0.0900000035762786,0.0810000002384185,,-45.797865822830225,44.19709568286344,-45.913491453468545,44.1347211344481,0.12,0.06,,34.581321060181104,,,0.11,0.03,-25.102619035143757,34.691977273502324,-25.075662882143106
2025-07-07,11:38:44.139,0.0004575859056785,-33.3952751159668,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.48760986328125,29.9542236328125,16.301937103271484,26.432313919067383,0,10,0,0,2025-07-07T15:38:44.139Z,323.5799865722656,30.040000915527344,0.0900000035762786,0.0799999982118606,,-45.75373504872235,44.15468295984923,-45.915216289798416,44.136480976325,0.16,0.02,,34.596638163929775,,,0.09,0.08,-25.153690576138178,34.69128510720032,-25.073604629495787
2025-07-07,11:38:45.163,0.0004575432394631,-33.39567947387695,,,,,,40.74350357055664,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,323.4884948730469,29.952213287353516,16.301937103271484,26.432313919067383,0,10,0,0,2025-07-07T15:38:45.163Z,323.5799865722656,30.030000686645508,0.0900000035762786,0.0799999982118606,,-45.765270132519134,44.16029715770908,-45.91694119794835,44.13824081465192,0.15,0.02,,34.59739554577194,,,0.09,0.07,-25.143713875944602,34.690592929562435,-25.071546377409447
