Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),Unnamed: 32
2025-07-08,12:04:30.539,0.0001466846733819,-38.35124588012695,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,184.4241485595703,76.7996597290039,11.124958038330078,-1.0519046783447266,0,10,0,0,2025-07-08T16:04:30.539Z,184.3999938964844,76.80000305175781,0.0,0.0,
2025-07-08,12:04:35.790,0.0001504614483565,-38.24132410685221,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,184.5087127685547,76.79833221435547,11.124855995178224,-1.052006721496582,0,10,0,0,2025-07-08T16:04:35.790Z,184.6499938964844,76.80000305175781,0.1800000071525573,0.0,
2025-07-08,12:04:52.432,0.0001419615873601,-38.497580210367836,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,184.796142578125,76.79362487792969,11.12450885772705,-1.052353858947754,0,10,0,0,2025-07-08T16:04:52.432Z,184.97000122070312,76.9800033569336,0.1800000071525573,0.1800000071525573,
2025-07-08,12:05:08.024,0.0001378630695398,-38.63285446166992,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,185.0495758056641,76.78923034667969,11.124201774597168,-1.0526609420776367,0,10,0,0,2025-07-08T16:05:08.024Z,185.0099945068359,76.97000122070312,0.0,0.1800000071525573,
2025-07-08,12:05:21.428,0.0001347925135632,-38.70932133992513,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,185.28598022460935,76.78492736816406,11.123915672302246,-1.0529470443725586,0,10,0,0,2025-07-08T16:05:21.428Z,185.08999633789065,76.97000122070312,-0.1800000071525573,0.1800000071525573,
2025-07-08,12:05:36.818,0.0001419262989656,-38.478187561035156,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,185.53909301757812,76.78009796142578,11.12360954284668,-1.053253173828125,0,10,0,0,2025-07-08T16:05:36.818Z,185.36000061035156,76.77999877929688,-0.1800000071525573,0.0,
2025-07-08,12:05:52.353,0.000133470253786,-38.73356374104818,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,185.80889892578125,76.77469635009766,11.123282432556152,-1.0535802841186523,0,10,0,0,2025-07-08T16:05:52.353Z,185.6199951171875,76.5999984741211,-0.1800000071525573,-0.1800000071525573,
2025-07-08,12:06:00.637,0.0001353724801447,-38.6830202738444,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,185.9437255859375,76.77190399169922,11.123119354248049,-1.0537433624267578,0,10,0,0,2025-07-08T16:06:00.637Z,185.94000244140625,76.58999633789062,0.0,-0.1800000071525573,
2025-07-08,12:06:05.862,0.0001379690220346,-38.610191345214844,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,186.0279541015625,76.77012634277344,11.123016357421877,-1.0538463592529297,0,10,0,0,2025-07-08T16:06:05.862Z,186.1699981689453,76.58999633789062,0.1800000071525573,-0.1800000071525573,
2025-07-08,12:06:11.057,0.0001418639149051,-38.49517949422201,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,186.12901306152344,76.76795196533203,11.122894287109377,-1.0539684295654297,0,10,0,0,2025-07-08T16:06:11.057Z,186.42999267578125,76.58999633789062,0.3600000143051147,-0.1800000071525573,
2025-07-08,12:06:24.476,0.0001563051191624,-38.05112838745117,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,186.3478546142578,76.76313781738281,11.122629165649414,-1.0542335510253906,0,10,0,0,2025-07-08T16:06:24.476Z,186.7100067138672,76.76000213623047,0.3600000143051147,0.0,
2025-07-08,12:06:38.885,0.0001443197397748,-38.400498708089195,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,186.5833740234375,76.75775146484375,11.122343063354492,-1.0545196533203125,0,10,0,0,2025-07-08T16:06:38.885Z,186.9600067138672,76.94000244140625,0.3600000143051147,0.1800000071525573,
2025-07-08,12:06:53.300,0.000127433318994,-38.93523025512695,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,186.8354949951172,76.75177001953125,11.122036933898926,-1.054825782775879,0,10,0,0,2025-07-08T16:06:53.300Z,187.19000244140625,77.11000061035156,0.3600000143051147,0.3600000143051147,
2025-07-08,12:07:08.872,0.0001262595469597,-38.98510996500651,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,187.08741760253903,76.74556732177734,11.121729850769045,-1.0551328659057615,0,10,0,0,2025-07-08T16:07:08.872Z,187.22999572753903,77.11000061035156,0.1800000071525573,0.3600000143051147,
