Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),Unnamed: 32,X (Rot),Y (Rot),X (Target),Y (Target),X_offset,Y_offset
2025-07-03,14:11:31.009,0.0004870901175308,-33.111305236816406,,,,,,19.484230041503903,,,,,,6.874251842498779,22.88848876953125,192.5085296630859,10.427360534667969,224.15545654296875,72.83232879638672,-0.2638146579265594,-11.972204208374023,0,10,0,0,2025-07-03T18:11:31.009Z,180.3800048828125,76.9800033569336,0.0,0.0,,-0.08787003144278421,-13.019705250138081,-12.145128898569427,-12.22608130919783,13.052577215505515,1.270762405663211
2025-07-03,14:11:33.057,0.0004891188000328,-33.111305236816406,,,,,,19.484230041503903,,,,,,6.874253273010254,22.888484954833984,192.508544921875,10.427379608154297,224.17599487304688,72.82762908935547,-0.2638636827468872,-11.972251892089844,0,10,0,0,2025-07-03T18:11:33.057Z,179.9499969482422,76.9800033569336,-0.4320000112056732,0.0,,0.01156249555871661,-13.01999159766771,-12.152907554680898,-12.225054640393322,13.052577215505515,1.270762405663211
2025-07-03,14:11:35.105,0.0004893508739769,-33.112005869547524,,,,,,19.484230041503903,,,,,,6.874255657196045,22.88848304748535,192.5085601806641,10.427408218383787,224.2068023681641,72.82057189941406,-0.2639372944831848,-11.972323417663574,0,10,0,0,2025-07-03T18:11:35.105Z,179.9499969482422,77.08000183105469,-0.4329999983310699,0.1000000014901161,,0.011470595759981137,-12.919993163647925,-12.164582483155232,-12.22351253940807,13.052577215505515,1.270762405663211
2025-07-03,14:11:36.129,0.0004889575066044,-33.11248270670573,,,,,,19.484230041503903,,,,,,6.874256610870361,22.88848114013672,192.50857543945312,10.427417755126951,224.2170562744141,72.81822204589844,-0.2639617919921875,-11.9723482131958,0,10,0,0,2025-07-03T18:11:36.129Z,180.3800048828125,77.08000183105469,0.003000000026077,0.1000000014901161,,-0.08717163325800505,-12.919709092032678,-12.168469404993804,-12.222997953681396,13.052577215505515,1.270762405663211
2025-07-03,14:11:37.153,0.0004838860768359,-33.12121836344401,,,,,,19.484230041503903,,,,,,6.874257564544678,22.88848114013672,192.50857543945312,10.427427291870115,224.22732543945312,72.81586456298828,-0.2639863193035126,-11.972373008728027,0,10,0,0,2025-07-03T18:11:37.153Z,180.3800048828125,77.08000183105469,0.4390000104904175,0.0989999994635582,,-0.08717163325800505,-12.919709092032678,-12.172365311878233,-12.222484503957183,13.052577215505515,1.270762405663211
2025-07-03,14:11:39.201,0.0004829677054658,-33.152730305989586,,,,,,19.484230041503903,,,,,,6.874258995056152,22.88847923278809,192.5085906982422,10.427446365356444,224.24783325195312,72.8111572265625,-0.2640353739261627,-11.972420692443848,0,10,0,0,2025-07-03T18:11:39.201Z,180.80999755859375,76.9800033569336,0.4320000112056732,-0.0010000000474974,,-0.18729355190137362,-13.018672723723045,-12.180145643216974,-12.221455716400579,13.052577215505515,1.270762405663211
2025-07-03,14:11:41.249,0.0004835262370761,-33.163132985432945,,,,,,19.484230041503903,,,,,,6.874260425567627,22.888477325439453,192.50860595703125,10.427465438842772,224.2683258056641,72.80644989013672,-0.2640844285488128,-11.972469329833984,0,10,0,0,2025-07-03T18:11:41.249Z,180.80999755859375,76.87999725341797,0.4259999990463257,-0.101000003516674,,-0.18878348365911943,-13.118668295359647,-12.187923476215465,-12.220426182212902,13.052577215505515,1.270762405663211
2025-07-03,14:11:44.321,0.0004873780999332,-33.12039057413737,,,,,,19.484230041503903,,,,,,6.874262809753418,22.888473510742188,192.5086212158203,10.427494049072266,224.2990570068359,72.79938507080078,-0.2641579806804657,-11.972540855407717,0,10,0,0,2025-07-03T18:11:44.321Z,180.3800048828125,76.87999725341797,-0.003000000026077,-0.1000000014901161,,-0.08856904689280654,-13.11970903559103,-12.199592769229486,-12.218878727889209,13.052577215505515,1.270762405663211
2025-07-03,14:11:46.369,0.0004882414650637,-33.11846160888672,,,,,,19.484230041503903,,,,,,6.874264717102051,22.888471603393555,192.5086212158203,10.427513122558594,224.3195343017578,72.79467010498047,-0.2642070353031158,-11.972589492797852,0,10,0,0,2025-07-03T18:11:46.369Z,179.9499969482422,76.87999725341797,-0.4320000112056732,-0.1000000014901161,,0.01165447658462889,-13.119997661046586,-12.207374776971323,-12.217847842626117,13.052577215505515,1.270762405663211
2025-07-03,14:11:48.417,0.0004887402174063,-33.11515680948893,,,,,,19.484230041503903,,,,,,6.874266147613525,22.88846969604492,192.50863647460935,10.427532196044922,224.33999633789065,72.78995513916016,-0.2642560601234436,-11.972638130187988,0,10,0,0,2025-07-03T18:11:48.417Z,179.52000427246094,76.87999725341797,-0.8610000014305115,-0.1000000014901161,,0.11187371598961121,-13.11953413233785,-12.215154285918606,-12.216816219785583,13.052577215505515,1.270762405663211
2025-07-03,14:11:50.465,0.0004850876866839,-33.12819798787435,,,,,,19.484230041503903,,,,,,6.874267578125,22.88846778869629,192.50865173339844,10.42755126953125,224.3604431152344,72.78524017333984,-0.2643051147460937,-11.972685813903809,0,10,0,0,2025-07-03T18:11:50.465Z,179.50999450683594,76.9800033569336,-0.8650000095367432,0.0,,0.113305298079453,-13.019512134648613,-12.222931295124436,-12.215783864844719,13.052577215505515,1.270762405663211
