Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),Unnamed: 32,X (Rot),Y (Rot),X (Target),Y (Target),X_offset,Y_offset
2025-06-27,10:40:18.506,0.0002079554687952,-36.80180358886719,,,,,,2.7250540256500244,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,320.9112243652344,43.77381896972656,15.51098346710205,25.641361236572266,0,10,0,0,2025-06-27T14:40:18.506Z,320.9100036621094,43.779998779296875,0.0,0.0,,-33.34415600885576,34.082523994070776,-33.349146709359985,34.08720185716065,0.23691992389008476,0.4433759421563508
2025-06-27,10:40:32.031,0.0002152886154362,-36.7247060139974,,,,,,2.7250540256500244,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,320.9095764160156,43.745853424072266,15.510912895202637,25.64128875732422,0,10,0,0,2025-06-27T14:40:32.031Z,321.07000732421875,43.75,0.1500000059604644,0.0,,-33.28106464086569,34.18987912455452,-33.37579219906583,34.10442442649271,0.23691992389008476,0.4433759421563508
2025-06-27,10:40:44.423,0.000189614132978,-37.244466145833336,,,,,,2.7250540256500244,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,320.9080810546875,43.72003555297851,15.510847091674805,25.641223907470703,0,10,0,0,2025-06-27T14:40:44.423Z,321.0400085449219,43.869998931884766,0.1500000059604644,0.1500000059604644,,-33.18796509529063,34.095374088350226,-33.4003870499924,34.12033280557725,0.23691992389008476,0.4433759421563508
2025-06-27,10:40:53.771,0.0001883826043922,-37.25464884440104,,,,,,2.7250540256500244,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,320.9068603515625,43.698524475097656,15.510793685913086,25.641170501708984,0,10,0,0,2025-06-27T14:40:53.771Z,320.9100036621094,43.880001068115234,0.0,0.1500000059604644,,-33.25230431478799,34.01764945882388,-33.42087247096085,34.13359702622488,0.23691992389008476,0.4433759421563508
2025-06-27,10:41:06.203,0.0001881487842183,-37.26466751098633,,,,,,2.7250540256500244,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,320.9053955078125,43.672706604003906,15.510727882385254,25.64110565185547,0,10,0,0,2025-06-27T14:41:06.203Z,320.760009765625,43.84000015258789,-0.1500000059604644,0.1500000059604644,,-33.37356589731503,33.961188875073724,-33.4454683172866,34.14951191532468,0.23691992389008476,0.4433759421563508
2025-06-27,10:41:11.355,0.0001961172092705,-37.12946065266927,,,,,,2.7250540256500244,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,320.9048156738281,43.66194915771485,15.510700225830078,25.641077041625977,0,10,0,0,2025-06-27T14:41:11.355Z,320.760009765625,43.709999084472656,-0.1500000059604644,0.0,,-33.493223453118816,34.04521425141992,-33.45570225230661,34.15615828664719,0.23691992389008476,0.4433759421563508
2025-06-27,10:41:17.582,0.0002055637305602,-36.87954966227213,,,,,,2.7250540256500244,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,320.90399169921875,43.64688873291016,15.510663032531738,25.641040802001953,0,10,0,0,2025-06-27T14:41:17.582Z,320.75,43.5099983215332,-0.1500000059604644,-0.1500000059604644,,-33.683429365017986,34.168705433861255,-33.47003957211619,34.16545485157345,0.23691992389008476,0.4433759421563508
2025-06-27,10:41:31.008,0.0002449551830068,-36.08468246459961,,,,,,2.7250540256500244,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,320.9024658203125,43.61891555786133,15.51059341430664,25.64097023010254,0,10,0,0,2025-06-27T14:41:31.008Z,320.8900146484375,43.45000076293945,0.0,-0.1500000059604644,,-33.65960502714547,34.28503926494242,-33.496676054445075,34.18271973623259,0.23691992389008476,0.4433759421563508
2025-06-27,10:41:38.306,0.0002505965530872,-35.964637756347656,,,,,,2.7250540256500244,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,320.90167236328125,43.60385513305664,15.510555267333984,25.640932083129883,0,10,0,0,2025-06-27T14:41:38.306Z,321.0199890136719,43.439998626708984,0.1500000059604644,-0.1500000059604644,,-33.59495020399667,34.36348577961803,-33.51100576571447,34.19202772154825,0.23691992389008476,0.4433759421563508
2025-06-27,10:41:44.467,0.0002272181591251,-36.344041188557945,,,,,,2.7250540256500244,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,320.9010009765625,43.590946197509766,15.510522842407228,25.640899658203125,0,10,0,0,2025-06-27T14:41:44.467Z,321.19000244140625,43.45000076293945,0.3000000119209289,-0.1500000059604644,,-33.48867135723893,34.450937622159145,-33.523286128119246,34.20000930653077,0.23691992389008476,0.4433759421563508
2025-06-27,10:41:49.624,0.0001999359519686,-36.90718078613281,,,,,,2.7250540256500244,,,,,,23.38999938964844,58.814998626708984,111.80281829833984,-2.129568099975586,320.90032958984375,43.578033447265625,15.510490417480469,25.640867233276367,0,10,0,0,2025-06-27T14:41:49.624Z,321.2200012207031,43.56999969482422,0.3000000119209289,0.0,,-33.36102944582574,34.389404331271685,-33.53557249293666,34.20799197365756,0.23691992389008476,0.4433759421563508
